sol-sniper-bot  | {"level":"info","mint":"3HgPSLLxcbTewpYFqmFdfhjq8tdahEZYuBattKGppump","buy_sol":0.1,"tip_sol":0.001,"time":1776069414498,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"89iJp8Noi555eoVP75ssofFuHnmVvNsZpcw7bFCdpump","buy_sol":0.1,"tip_sol":0.002648261,"time":1776069414501,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"Fe5oG9pstnH5LyyprGQHmmpvyb7eXztuZp41kNXBpump","buy_sol":0.1,"tip_sol":0.002650517,"time":1776069426162,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"JRvTg9HnfnJpwYinKRsYCmFR4nwqvsup2MnZkGjpump","buy_sol":0.1,"tip_sol":0.001,"time":1776069454634,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"5ngy9jKWepjNsLJvxuKmc3dizYgHfJYMDGWYc2DMpump","buy_sol":0.1,"tip_sol":0.001,"time":1776069455318,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"A8ZeiooFuLkWrfVXE9SbWwgJTiqaymVoqKoZt8Yspump","buy_sol":0.1,"tip_sol":0.001,"time":1776069457626,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"GXZhZna1gi3V3AJBDEHfsEsXTBNdNTGAKXn2pfZT9MUf","buy_sol":0.1,"tip_sol":0.001,"time":1776069485003,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"43jtj1uWvBZTVmc3E7cSnVSToV1Y5ta5Urqoa4pApump","buy_sol":0.1,"tip_sol":0.001,"time":1776069522762,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"EEZxLa3sYuZaFZJzmDSQDsuEK2QMvDRdcDNeA1Xnpump","buy_sol":0.1,"tip_sol":0.001,"time":1776069552458,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"7Sy1tWDDQdg29qBoxvU5iBMqrDhoVjHEwdKL4Ri1pump","buy_sol":0.1,"tip_sol":0.001,"time":1776069582552,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"CQjbvw8cteWPsNL46zBfNF6ZH4PCawANaDCk3cWM8cX7","buy_sol":0.1,"tip_sol":0.001,"time":1776069590458,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"56sRUJJCiodHoXToujUx3odLxzktJoYZs9i2fKURpump","buy_sol":0.1,"tip_sol":0.001,"time":1776069598063,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"21d3xVhBDNDAQMmLEmsfBwxtjmRTLmaA38zUNXhWpump","buy_sol":0.1,"tip_sol":0.001,"time":1776069631446,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"BPKgsEKeBX92fAX7Snz9rHjehMx1outR6cmVSrrrpump","buy_sol":0.1,"tip_sol":0.001,"time":1776069639157,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"Cn8bor6XnwuEW1Wt6vawcP1769WAtVFWtX4JkGEEpump","buy_sol":0.1,"tip_sol":0.001,"time":1776069647307,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"muPfk9Bd4NYXsqP4rpuoLN8nqD5ef14QwvoBHq1pump","buy_sol":0.1,"tip_sol":0.001,"time":1776069672459,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"HCGVKXS5Sc28PgFFXfJZTrzyVXCHJmydJ3nDGrUzpump","buy_sol":0.1,"tip_sol":0.001,"time":1776069672460,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"GwCwJ9pKauyZZN1DKUjQQcnnXbateEADRQzKMpp4JFFF","buy_sol":0.1,"tip_sol":0.001,"time":1776069682178,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"GjUk8SwuhaWLVfBfSzN8SrEutz1j3z2WYr4Te1vXpump","buy_sol":0.1,"tip_sol":0.001,"time":1776069685802,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"AxCiMdztb38HXC82PKZXnGt8tdgdcSHasyKfpbtgpump","buy_sol":0.1,"tip_sol":0.002604242,"time":1776069723055,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"HqaSKsQN6HZnwVK9feG3bEdxAGaprpCj9C3GtNDrpump","buy_sol":0.1,"tip_sol":0.002864391,"time":1776069758921,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"22nkNCibLyj2Pmuq6DvBqfYJCx58GMtNiDP3fyMZpump","buy_sol":0.1,"tip_sol":0.001,"time":1776069801769,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"DBhpd7Jh8LUWkLb4n59j5HfmgbN4AwoExgKYSJAwpump","buy_sol":0.1,"tip_sol":0.001,"time":1776069813253,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"FVmkGfLbFwuKfXVsZNg4qRNK7RDE1vTiLXL4e2sFpump","buy_sol":0.1,"tip_sol":0.001142054,"time":1776069844048,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"3DveaMxGwLZ8mrZ4Cv6Sb3NUWDGGcKDG67RSvmUjpump","buy_sol":0.1,"tip_sol":0.001,"time":1776069844593,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"7e6i9AtvL4gqNR7YqrukyCxDt6EkHtwjbrrxKfdVpump","buy_sol":0.1,"tip_sol":0.001,"time":1776069852059,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"8DyGhp7fXYaCrnt37z9gQEi3hBX9X3VFwQLsiAXJpump","buy_sol":0.1,"tip_sol":0.003061922,"time":1776069880488,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"BqztwiCpQtEnsq9nBAq6yuvUQokq4ERUdiGJGgQBpump","buy_sol":0.1,"tip_sol":0.001,"time":1776069882725,"message":"executor: [SIM] bundle skipped — simulation mode"}
