sol-sniper-bot  | {"level":"info","mint":"EL2AkfGFeEgQcyzFMF3Tzm8Q7UNpsnNKmmHWcur7pump","trigger":"stop_loss","time":1776070178870,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"DQKUCW8Yu8vBghUd24nYzfZzHnduas4zM2coyScDpump","trigger":"take_profit","time":1776070218865,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"5DWNGXhsLdQrhGusxVr8Tpur6mHCQLGsJvoM4CtBpump","trigger":"stop_loss","time":1776070248878,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"8ym7YcFpucrv31sAR8FA3vnKhwAhyNjdokoogPCpump","trigger":"take_profit","time":1776070248881,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"BaLuf1kmhHwU9xUw9mG6cAc5NWn8pvPxHeyjXRzXQ5xY","trigger":"stop_loss","time":1776070268863,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"C5ta7QgjUNtdyLMrmWcEqWxfiZQ3f9nvxFKZFN5Spump","trigger":"stop_loss","time":1776070298864,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"23nhuBn6ftVWVcSSEvPsB5ZkiXegupscCCTpRdrGpump","trigger":"stop_loss","time":1776070328850,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"DBQbSo8sTM7BQLQTHYjWJKKHgrYoADJRy7veyuhBpump","trigger":"stop_loss","time":1776070358876,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"3fCitft4t3Uhe91Zvc2aKz463eCaCY51dgLZZHa5pump","trigger":"stop_loss","time":1776070358886,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"7By4BqxJjJgZMrbvgPM7ckgZVN6rHkKWQ4BsrSRjpump","trigger":"stop_loss","time":1776070368853,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"FdcyhCiJLB7a9Kbx88wuwpJaAdbiXGrxtsWhj26vpump","trigger":"timeout","time":1776070368863,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"CXp8BCcUqaheeKvhVWSA6VjhXKSLZn6iVWMuo7NSpump","trigger":"stop_loss","time":1776070388857,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"iwanVbjjrhzxoRyGkKQiL7XyBdKdLMX3goAGBiKFaBL","trigger":"timeout","time":1776070388861,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"H7JA3EsxmNHbKcLRR2FVEbfaHbTtra8MLJ6qi4WTpump","trigger":"timeout","time":1776070448865,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"RxDVjK8B4zrXRoggq4zPvq5fg7ab2At8WfV2zaTpump","trigger":"stop_loss","time":1776070458850,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"F14TUuZF45nesUSFg5hbdpDYsKuZHnzvvg6mwggUpump","trigger":"stop_loss","time":1776070458853,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"BUPL1iiUgCM4EARbfLVSN6gz3hDQMhvdqRuE6A6Upump","trigger":"timeout","time":1776070468869,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"2ob1s224tvT7AzbhtHqesKCdMxHt2BHxpToBxV2Rpump","trigger":"timeout","time":1776070478854,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"6GtR43mGUucJ1h7WUAe4odkbaZ96LZpRAn1JCkzWpump","trigger":"timeout","time":1776070498939,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"CmwAn1Ki482x8YUjjHg6S9TCpowamxFFq8QMRzmfpump","trigger":"take_profit","time":1776070508840,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"XaZEYtvMzCmKnjVkHs4qNKJ5vk9tSUY3zPdR5ZCpump","trigger":"stop_loss","time":1776070518849,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"52q1BZrvZ64xyR5ULUB4WutVFJKTUvS5zJkYAWDQpump","trigger":"timeout","time":1776070558859,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"9EZDr6zoXSed5J13UxnhfPBpqegYF5xhqvhAZFf9pump","trigger":"stop_loss","time":1776070618873,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"Aug7te5epptUTsePtK62thJTPayKg412roWah74Jpump","trigger":"take_profit","time":1776070628856,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"EBVS45y9bnbcyKiqMYdwieMufDyPkPN2owPvXFAAWdnW","trigger":"stop_loss","time":1776070638849,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"9z2mtQ61TNwsgrkqXECGFJRqNDutsXNQ3upDgB4oDytq","trigger":"timeout","time":1776070668869,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"EEQsh2gMsdAL4SnVnGV9ovL9Yv9FjU4cidRuJ3Z1pump","trigger":"stop_loss","time":1776070678860,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"4vwALDP43tGuk5tKQ5fXJVm55xqXVfZmmZVG5Pgnpump","trigger":"stop_loss","time":1776070688864,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"13YotE6xaWeEmB2UFJQEwXGd46FSpB5TbYQLq1wopump","trigger":"stop_loss","time":1776070758866,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"Fd1hJtCrNsY8SnekWGZKeaWXMuad9Mqk583dMGnFpump","trigger":"take_profit","time":1776070798854,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"8mQ3EMcnYTzwpcHtZoi9V5phTmAyBLtK5NoYzixpump","trigger":"timeout","time":1776070808854,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"5bcuJuoWPHAMY9a9gTgtkQj6fvzNyTHHSTpaGJm7pump","trigger":"timeout","time":1776070828845,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"ENca4mtgoFRpHAXEJ6eiuits1Mraj67rs4AxM6qxpump","trigger":"stop_loss","time":1776070858854,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"BW9pEcNkHok8CKDwLy7v4RYvR66Wj47jzm79WwPkpump","trigger":"stop_loss","time":1776070878851,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"7QLL2UBYGna9oLAEwXodRNZ3SqZRCRhqPfLq5532pump","trigger":"stop_loss","time":1776070898878,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"CMivYUquEMJsEiyj67mFbdqH6YHQvhw7BqjWJ2uEpump","trigger":"stop_loss","time":1776070898878,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"7RSSgZkGQMfqnVdZ8bN9pWqw2hZBBAL69ZBoYRBjpump","trigger":"stop_loss","time":1776070898880,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"FE1xoPgm6DHuWP2m9zohZy4W9HAtZPUAHxRpXGmTpump","trigger":"stop_loss","time":1776070918840,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"8LxSg4JxPRznAwBqCHpXJusJNgXyufkx8D88SjPwpump","trigger":"timeout","time":1776070938872,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"4pjmnAYcMrhZMeh6QiNFH3w819uNUqu4gyKGGE81pump","trigger":"timeout","time":1776070948866,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"CFvkT9R8x6QUdBWkH8iSsbT9ht4JgSAGZspL7sUnpump","trigger":"stop_loss","time":1776070968861,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"74Xqq89TaPxt2NUXeVPZVR76Xr1jip2WovhSiCWaBsXL","trigger":"stop_loss","time":1776070978841,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"3J3KuVCQC33aaNd9vaPfDTMgpbkowccaCDEjvw7ypump","trigger":"take_profit","time":1776070998873,"message":"executor: [SIM] sell skipped"}
